time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-01-31T13:38:00Z;6;109.47;487.74;8.25;7.84;22.16;91.50;28.78;11.55;1.23;1011.20;83.60;6.30;210.00;2.20;
2022-01-31T13:39:00Z;6;112.01;497.46;8.25;9.15;22.96;91.50;9.46;5.98;1.23;1011.20;83.20;6.30;209.00;2.00;
2022-01-31T13:40:00Z;6;113.31;492.90;8.25;11.76;23.76;91.04;28.78;9.69;1.23;1011.50;83.00;6.30;216.00;1.70;
2022-01-31T13:41:00Z;6;109.48;495.13;8.25;9.15;23.76;89.58;21.96;8.76;1.23;1011.30;82.80;6.30;203.00;2.00;
2022-01-31T13:42:00Z;6;108.19;495.03;8.25;7.84;22.96;88.61;20.82;8.76;1.23;1011.20;82.50;6.30;211.00;2.20;
2022-01-31T13:43:00Z;6;108.11;494.21;8.24;6.53;22.14;86.63;27.64;9.69;1.23;1011.10;81.60;6.50;200.00;2.80;
2022-01-31T13:44:00Z;6;105.59;501.70;8.24;7.84;21.35;87.12;28.78;11.55;1.23;1011.30;81.10;6.50;207.00;1.90;
2022-01-31T13:45:00Z;6;103.05;496.84;8.24;10.45;20.56;86.64;14.00;5.05;1.23;1011.30;80.70;6.50;214.00;2.20;
2022-01-31T13:46:00Z;6;103.05;487.12;8.24;11.75;19.77;89.05;26.51;11.55;1.23;1011.30;80.20;6.50;199.00;2.20;
2022-01-31T13:47:00Z;6;101.79;492.18;8.24;10.45;19.77;89.54;16.28;6.91;1.23;1011.50;80.20;6.50;208.00;1.50;
2022-01-31T13:48:00Z;6;103.06;501.80;8.24;9.14;20.56;89.06;6.05;4.12;1.23;1011.40;80.40;6.50;210.00;1.50;
2022-01-31T13:49:00Z;6;108.11;496.58;8.24;7.83;22.93;87.59;14.00;5.98;1.23;1011.40;80.70;6.60;200.00;1.20;
2022-01-31T13:50:00Z;6;114.48;499.21;8.24;7.84;22.94;86.64;25.37;8.76;1.23;1011.60;81.00;6.60;214.00;1.20;
2022-01-31T13:51:00Z;6;118.31;496.88;8.24;7.84;22.15;86.64;20.82;6.91;1.23;1011.70;81.10;6.60;198.00;1.80;
2022-01-31T13:52:00Z;6;120.87;494.61;8.24;7.84;21.36;87.62;12.87;8.76;1.23;1011.50;81.00;6.50;203.00;1.70;
2022-01-31T13:53:00Z;6;123.41;506.69;8.24;5.22;20.57;88.58;39.01;17.12;1.23;1011.80;80.80;6.60;209.00;2.00;
2022-01-31T13:54:00Z;6;123.38;491.92;8.24;2.61;19.77;89.53;26.51;11.55;1.23;1011.60;80.40;6.60;198.00;2.30;
2022-01-31T13:55:00Z;6;118.32;489.69;8.24;5.22;20.57;90.02;20.82;5.98;1.23;1011.80;80.60;6.60;213.00;1.20;
2022-01-31T13:56:00Z;6;119.55;491.72;8.24;5.22;20.56;91.44;14.00;8.76;1.23;1011.40;80.60;6.60;201.00;2.40;
2022-01-31T13:57:00Z;6;120.84;491.92;8.24;5.22;21.35;92.42;15.14;8.76;1.23;1011.60;80.40;6.60;218.00;1.10;
2022-01-31T13:58:00Z;6;120.85;489.59;8.24;6.53;22.15;91.94;19.69;11.55;1.23;1011.70;80.50;6.60;200.00;1.50;
2022-01-31T13:59:00Z;6;120.84;491.92;8.24;5.22;22.15;90.97;18.55;10.62;1.23;1011.60;80.40;6.60;189.00;1.90;
2022-01-31T14:00:00Z;6;120.85;492.02;8.24;6.53;22.15;90.02;28.78;11.55;1.23;1011.70;80.40;6.60;215.00;1.40;
2022-01-31T14:01:00Z;6;120.86;499.40;8.24;6.53;22.15;90.02;25.37;9.69;1.23;1011.80;80.50;6.60;209.00;1.20;
2022-01-31T14:02:00Z;6;120.85;494.45;8.24;2.61;22.94;89.05;12.87;5.05;1.23;1011.70;80.60;6.60;204.00;1.20;
2022-01-31T14:03:00Z;6;123.41;492.12;8.24;1.31;22.15;89.06;14.00;8.76;1.23;1011.80;80.70;6.60;197.00;1.30;
2022-01-31T14:04:00Z;6;125.97;494.75;8.25;3.92;22.16;89.55;25.37;11.55;1.23;1012.00;80.80;6.60;223.00;1.40;
2022-01-31T14:05:00Z;6;127.22;494.55;8.24;3.92;21.36;89.54;26.51;12.48;1.23;1011.80;80.30;6.60;202.00;2.60;
2022-01-31T14:06:00Z;6;127.21;489.59;8.24;2.61;19.77;91.46;15.14;6.91;1.23;1011.70;78.70;6.60;197.00;2.70;
2022-01-31T14:07:00Z;6;123.44;497.27;8.25;2.61;19.78;88.60;14.00;8.76;1.23;1012.10;78.30;6.60;199.00;2.40;
2022-01-31T14:08:00Z;6;115.81;489.99;8.25;3.92;20.57;87.15;19.69;8.76;1.23;1012.10;78.10;6.60;202.00;2.60;
2022-01-31T14:09:00Z;6;111.96;496.98;8.24;2.61;18.98;88.09;14.00;5.05;1.23;1011.80;78.60;6.60;197.00;1.40;
2022-01-31T14:10:00Z;6;110.72;502.13;8.25;2.61;18.99;87.15;15.14;5.98;1.23;1012.10;78.90;6.60;241.00;1.00;
2022-01-31T14:11:00Z;6;110.72;489.99;8.25;2.61;18.19;87.63;19.69;8.76;1.23;1012.10;78.80;6.60;200.00;1.50;
2022-01-31T14:12:00Z;6;110.70;489.79;8.24;1.31;17.39;88.58;8.32;4.12;1.23;1011.90;78.00;6.60;206.00;2.10;
2022-01-31T14:13:00Z;6;111.97;497.08;8.24;1.31;18.19;91.96;26.51;5.05;1.23;1011.90;78.10;6.60;204.00;1.60;
2022-01-31T14:14:00Z;6;108.17;494.75;8.25;1.31;18.19;95.82;23.10;9.69;1.23;1012.00;78.10;6.60;219.00;1.90;
2022-01-31T14:15:00Z;6;104.35;492.32;8.25;1.31;18.19;96.30;9.46;5.05;1.23;1012.00;78.20;6.60;202.00;1.60;
2022-01-31T14:16:00Z;6;108.17;494.75;8.25;1.31;18.19;94.86;6.05;4.12;1.23;1012.00;78.10;6.60;204.00;1.50;
2022-01-31T14:17:00Z;6;109.47;497.47;8.25;1.31;18.20;92.95;15.14;5.98;1.23;1012.30;78.30;6.60;196.00;2.00;
2022-01-31T14:18:00Z;6;108.18;502.13;8.25;1.31;18.19;92.93;12.87;5.98;1.23;1012.10;78.10;6.60;199.00;1.60;
2022-01-31T14:19:00Z;6;110.72;492.41;8.25;2.61;18.19;92.93;12.87;6.91;1.23;1012.10;78.20;6.60;202.00;1.20;
2022-01-31T14:20:00Z;6;110.71;485.03;8.25;3.92;17.40;91.96;15.14;8.76;1.23;1012.00;77.90;6.60;208.00;2.60;
2022-01-31T14:21:00Z;6;106.92;492.61;8.25;3.92;17.40;91.98;19.69;8.76;1.23;1012.30;77.60;6.60;205.00;2.50;
2022-01-31T14:22:00Z;6;103.09;489.99;8.25;5.23;17.40;90.52;12.87;6.91;1.23;1012.10;77.70;6.60;198.00;3.10;
2022-01-31T14:23:00Z;6;98.01;492.51;8.25;6.53;16.61;91.01;19.69;6.91;1.23;1012.20;77.80;6.60;228.00;1.70;
2022-01-31T14:24:00Z;6;95.46;490.08;8.25;5.23;16.61;91.49;23.10;8.76;1.23;1012.20;78.10;6.60;211.00;1.60;
2022-01-31T14:25:00Z;6;99.29;492.61;8.25;3.92;16.61;92.95;9.46;2.27;1.23;1012.30;77.90;6.60;206.00;2.00;
2022-01-31T14:26:00Z;6;101.83;504.76;8.25;2.61;16.61;91.98;21.96;8.76;1.23;1012.30;78.20;6.60;196.00;1.70;
2022-01-31T14:27:00Z;6;99.30;502.43;8.25;5.23;16.61;92.47;14.00;4.12;1.23;1012.40;78.60;6.60;202.00;1.60;
2022-01-31T14:28:00Z;6;103.12;492.81;8.25;5.23;18.20;92.00;14.00;8.76;1.23;1012.50;78.70;6.60;210.00;1.40;
2022-01-31T14:29:00Z;6;105.66;495.14;8.25;3.92;18.99;91.51;23.10;6.91;1.23;1012.40;78.70;6.60;217.00;2.00;
2022-01-31T14:30:00Z;6;104.39;500.00;8.25;3.92;19.79;91.03;16.28;4.12;1.23;1012.40;79.10;6.60;201.00;1.80;
2022-01-31T14:31:00Z;6;106.95;492.91;8.25;2.61;20.59;91.52;21.96;5.98;1.23;1012.60;79.80;6.60;194.00;1.90;
2022-01-31T14:32:00Z;6;105.68;497.77;8.25;1.31;19.79;94.41;19.69;9.69;1.23;1012.60;80.60;6.60;198.00;2.10;
2022-01-31T14:33:00Z;6;103.16;495.60;8.25;2.62;19.80;95.40;16.28;8.76;1.23;1012.50;81.50;6.50;224.00;1.40;
2022-01-31T14:34:00Z;6;104.44;502.99;8.25;2.62;20.59;94.44;26.51;8.76;1.23;1012.60;82.10;6.50;187.00;1.80;
2022-01-31T14:36:00Z;6;105.78;493.99;8.26;6.54;23.79;93.04;19.69;11.55;1.23;1012.60;84.20;6.30;194.00;3.00;
2022-01-31T14:37:00Z;6;103.29;496.98;8.26;7.86;23.01;92.59;14.00;9.69;1.23;1012.80;85.40;6.20;194.00;1.60;
2022-01-31T14:38:00Z;6;96.90;499.31;8.26;9.16;23.01;93.07;14.00;6.91;1.23;1012.70;86.10;6.20;200.00;1.90;
2022-01-31T14:39:00Z;6;91.82;506.82;8.26;9.17;23.02;93.08;25.37;11.55;1.23;1012.90;86.50;6.20;205.00;2.20;
2022-01-31T14:40:00Z;6;88.05;505.01;8.27;7.86;23.03;92.64;14.00;5.05;1.23;1012.80;86.50;6.00;200.00;2.10;
2022-01-31T14:41:00Z;6;82.94;500.03;8.27;7.86;23.83;92.63;31.05;8.76;1.23;1012.70;86.70;6.00;204.00;1.60;
2022-01-31T14:42:00Z;6;81.67;500.23;8.27;7.86;23.83;88.78;15.14;6.91;1.23;1012.90;86.90;6.00;195.00;1.30;
2022-01-31T14:43:00Z;6;84.20;509.68;8.27;7.86;23.82;87.31;18.55;6.91;1.23;1012.60;87.00;6.00;204.00;1.70;
