time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-02-02T13:38:00Z;6;164.33;494.17;8.12;7.72;20.97;55.84;16.28;6.91;1.21;1019.40;62.20;12.90;199.00;0.40;
2022-02-02T13:39:00Z;6;168.09;484.60;8.12;6.43;20.97;56.31;7.19;5.05;1.21;1019.40;62.50;12.90;245.00;0.20;
2022-02-02T13:40:00Z;6;168.09;489.38;8.12;5.15;20.19;57.74;10.59;6.91;1.21;1019.40;62.30;12.90;217.00;0.30;
2022-02-02T13:41:00Z;6;174.34;486.89;8.12;5.15;17.84;58.68;12.87;5.05;1.21;1019.30;61.60;12.90;221.00;0.40;
2022-02-02T13:42:00Z;6;183.11;489.29;8.12;5.15;15.50;60.58;11.73;6.91;1.21;1019.30;61.00;12.90;217.00;0.40;
2022-02-02T13:43:00Z;6;178.15;487.24;8.12;5.15;14.72;61.07;16.28;3.19;1.21;1019.30;60.40;12.80;243.00;0.50;
2022-02-02T13:44:00Z;6;167.00;485.64;8.13;5.15;14.74;61.10;12.87;6.91;1.21;1019.40;61.00;12.60;223.00;0.50;
2022-02-02T13:45:00Z;6;151.96;495.32;8.13;6.44;14.74;62.05;14.00;6.91;1.22;1019.50;61.80;12.60;206.00;0.50;
2022-02-02T13:46:00Z;6;143.27;500.82;8.14;6.45;15.54;62.08;10.59;5.05;1.22;1019.50;62.10;12.40;242.00;0.30;
2022-02-02T13:47:00Z;6;140.68;493.02;8.13;3.87;16.31;60.63;15.14;5.05;1.22;1019.60;62.20;12.60;222.00;0.40;
2022-02-02T13:48:00Z;6;136.92;488.23;8.13;2.58;16.31;60.63;4.91;3.19;1.22;1019.60;61.70;12.60;199.00;0.40;
2022-02-02T13:49:00Z;6;133.14;488.13;8.13;2.58;17.09;59.20;6.05;4.12;1.22;1019.50;61.60;12.60;196.00;0.40;
2022-02-02T13:50:00Z;6;129.38;485.74;8.13;7.73;16.31;59.20;11.73;6.91;1.22;1019.50;61.70;12.60;176.00;0.40;
2022-02-02T13:51:00Z;6;130.62;492.83;8.13;7.73;16.31;59.20;12.87;5.05;1.21;1019.40;61.80;12.60;222.00;0.30;
2022-02-02T13:52:00Z;6;136.91;495.32;8.13;9.02;16.31;57.77;7.19;5.05;1.22;1019.50;61.70;12.60;221.00;0.40;
2022-02-02T13:53:00Z;6;145.68;504.81;8.13;10.31;17.09;56.82;11.73;5.98;1.21;1019.40;61.80;12.60;250.00;0.20;
2022-02-02T13:54:00Z;6;154.46;511.99;8.13;10.31;18.65;54.92;15.14;6.91;1.21;1019.40;61.90;12.60;207.00;0.40;
2022-02-02T13:55:00Z;6;169.51;507.20;8.13;9.02;20.22;54.44;10.59;6.91;1.21;1019.40;61.80;12.60;194.00;0.30;
2022-02-02T13:56:00Z;6;187.09;500.11;8.13;9.02;21.00;54.45;11.73;6.91;1.22;1019.50;61.30;12.60;256.00;0.20;
2022-02-02T13:57:00Z;6;197.10;511.99;8.13;6.44;21.78;54.92;7.19;5.05;2.11;1019.40;61.60;12.60;237.00;0.30;
2022-02-02T13:58:00Z;6;202.14;516.89;8.13;6.44;21.79;53.50;15.14;7.84;2.11;1019.50;62.50;12.60;240.00;0.20;
2022-02-02T13:59:00Z;6;203.37;507.20;8.13;6.44;22.57;52.54;10.59;7.84;2.11;1019.40;62.20;12.60;210.00;0.40;
2022-02-02T14:00:00Z;6;205.90;504.91;8.13;5.15;23.35;53.50;8.32;5.98;2.11;1019.50;62.30;12.60;214.00;0.30;
2022-02-02T14:01:00Z;6;209.69;502.61;8.13;5.15;24.14;54.45;14.00;6.91;2.11;1019.60;62.50;12.60;221.00;0.30;
2022-02-02T14:02:00Z;6;214.68;509.70;8.13;5.15;25.70;55.40;12.87;5.98;2.11;1019.50;62.70;12.60;221.00;0.30;
2022-02-02T14:03:00Z;6;226.00;512.19;8.13;6.44;26.49;56.83;9.46;5.05;2.11;1019.60;62.40;12.60;203.00;0.30;
2022-02-02T14:04:00Z;6;241.05;500.21;8.13;5.15;26.49;58.25;16.28;8.76;2.11;1019.60;62.80;12.60;229.00;0.40;
2022-02-02T14:05:00Z;6;253.57;509.70;8.13;5.15;26.48;56.35;16.28;9.69;2.11;1019.50;62.90;12.60;248.00;0.30;
2022-02-02T14:06:00Z;6;267.37;514.49;8.13;3.87;26.48;53.97;16.28;9.69;2.11;1019.50;63.80;12.60;228.00;0.40;
2022-02-02T14:07:00Z;6;286.19;512.09;8.13;3.87;26.48;52.07;27.64;11.55;2.11;1019.50;63.90;12.60;240.00;0.20;
2022-02-02T14:08:00Z;6;307.51;514.49;8.13;5.15;28.05;52.55;17.41;5.98;2.11;1019.50;64.40;12.60;187.00;0.20;
2022-02-02T14:09:00Z;6;328.84;509.70;8.13;7.73;29.61;51.12;26.51;8.76;2.11;1019.50;63.90;12.60;153.00;0.30;
2022-02-02T14:10:00Z;6;352.95;517.71;8.14;10.32;29.64;50.66;12.87;5.98;2.11;1019.60;64.00;12.40;199.00;0.40;
2022-02-02T14:11:00Z;6;368.10;520.36;8.14;11.61;29.65;51.62;11.73;6.91;2.11;1019.50;63.70;12.30;167.00;0.50;
2022-02-02T14:12:00Z;6;368.36;513.88;8.15;10.33;29.67;53.07;17.41;6.91;2.12;1019.50;64.50;12.10;187.00;0.60;
2022-02-02T14:13:00Z;6;363.58;517.00;8.15;5.17;28.91;55.47;12.87;8.76;2.12;1019.50;65.10;11.90;200.00;0.40;
2022-02-02T14:14:00Z;6;358.67;524.57;8.16;6.46;28.92;55.96;15.14;7.84;2.12;1019.50;65.40;11.80;202.00;0.50;
2022-02-02T14:15:00Z;6;343.58;526.97;8.16;9.04;28.14;57.39;14.00;7.84;2.12;1019.50;66.00;11.80;207.00;0.30;
2022-02-02T14:16:00Z;6;329.74;524.57;8.16;10.34;26.57;59.29;12.87;6.91;2.12;1019.50;66.10;11.80;189.00;0.50;
2022-02-02T14:17:00Z;6;318.63;530.11;8.16;9.05;26.59;59.80;15.14;5.98;2.12;1019.50;65.70;11.60;186.00;0.40;
2022-02-02T14:18:00Z;6;306.05;527.70;8.16;9.05;27.38;57.89;23.10;5.98;2.12;1019.50;65.50;11.60;176.00;0.40;
2022-02-02T14:19:00Z;6;295.95;537.22;8.16;10.34;28.16;56.93;11.73;6.91;2.12;1019.40;65.50;11.60;195.00;0.40;
2022-02-02T14:20:00Z;6;290.91;534.81;8.16;7.76;28.16;55.98;12.87;5.05;1.22;1019.40;65.50;11.60;195.00;0.40;
2022-02-02T14:21:00Z;6;288.39;525.20;8.16;7.76;29.73;55.98;18.55;5.98;1.22;1019.40;65.40;11.60;186.00;0.50;
2022-02-02T14:22:00Z;6;287.36;530.84;8.17;9.06;29.76;55.04;9.46;5.98;1.22;1019.50;66.00;11.40;217.00;0.40;
2022-02-02T14:23:00Z;6;281.09;530.94;8.17;10.35;29.76;55.52;15.14;5.98;1.22;1019.60;66.10;11.40;210.00;0.40;
2022-02-02T14:24:00Z;6;273.50;526.03;8.17;10.35;30.54;55.52;20.82;11.55;1.22;1019.50;66.30;11.40;226.00;0.30;
2022-02-02T14:25:00Z;6;262.19;526.13;8.17;10.35;31.33;55.52;12.87;5.05;1.22;1019.60;66.60;11.40;196.00;0.40;
