time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-02-03T13:38:00Z;6;201.41;504.67;8.21;1.30;27.56;78.23;9.46;6.91;1.22;1011.70;91.10;7.80;187.00;0.90;
2022-02-03T13:39:00Z;6;195.09;504.77;8.21;1.30;27.57;78.71;23.10;12.48;1.22;1011.80;91.10;7.80;160.00;0.90;
2022-02-03T13:40:00Z;6;190.03;507.19;8.21;1.30;26.78;80.63;14.00;6.91;1.22;1011.80;91.10;7.80;185.00;0.60;
2022-02-03T13:41:00Z;6;184.96;512.03;8.21;1.30;25.20;80.63;17.41;11.55;1.22;1011.80;91.30;7.80;207.00;0.40;
2022-02-03T13:42:00Z;6;191.30;516.86;8.21;1.30;25.20;77.75;10.59;5.98;1.22;1011.80;91.40;7.80;181.00;0.60;
2022-02-03T13:43:00Z;6;191.30;507.19;8.21;1.30;25.99;75.83;18.55;9.69;1.22;1011.80;91.40;7.80;161.00;0.60;
2022-02-03T13:44:00Z;6;191.28;499.83;8.21;1.30;25.98;74.87;17.41;13.41;1.22;1011.70;91.40;7.80;194.00;0.50;
2022-02-03T13:45:00Z;6;206.47;507.09;8.21;2.60;26.77;75.35;12.87;6.91;1.22;1011.70;91.30;7.80;181.00;0.90;
2022-02-03T13:46:00Z;6;202.69;502.35;8.21;2.60;27.57;75.83;14.00;7.84;1.22;1011.80;91.30;7.80;169.00;0.50;
2022-02-03T13:47:00Z;6;201.43;504.77;8.21;1.30;27.57;77.27;35.60;27.33;1.22;1011.80;91.30;7.80;162.00;0.80;
2022-02-03T13:48:00Z;6;209.00;504.67;8.21;1.30;27.56;78.23;9.46;6.91;1.22;1011.70;91.40;7.80;194.00;0.60;
2022-02-03T13:49:00Z;6;203.94;504.67;8.21;1.30;28.35;76.31;16.28;12.48;1.22;1011.70;91.50;7.80;175.00;0.80;
2022-02-03T13:50:00Z;6;202.67;511.93;8.21;2.60;29.14;74.87;8.32;5.98;1.22;1011.70;91.50;7.80;164.00;0.90;
2022-02-03T13:51:00Z;6;198.86;516.66;8.21;2.60;29.14;73.90;18.55;14.34;1.22;1011.60;91.40;7.80;179.00;0.90;
2022-02-03T13:52:00Z;6;195.06;499.73;8.21;1.30;28.35;75.34;9.46;6.91;1.22;1011.60;91.50;7.80;193.00;0.90;
